nome_hotel,nota,titulo,texto,data
Hotel Colline de France,5,MELHOR HOTEL DO MUNDO,"Pelo segundo ano seguido, me hospedo neste hotel  PERFEITO... Não há palavras para descrever a experiência deste hotel: instalações maravilhosas, colaboradores educados e atenciosos, além do melhor café-da-manhã do mundo... De Dezembro/2020 quando foi minha primeira hospedagem, passando pelo prêmio de ""Melhor Hotel do Mundo"" este ano, o hotel continua IRRETOCÁVEL em TUDO!!! Merece o ""Bicampeonato""!!! Rsrsrs... Em Dezembro/2022 estarei novamente aí!!! Parabéns a todos envolvidos no Hotel (da camareira ao gerente) e continuem prezando pela Excelência!!!",dez. de 2021
Hotel Colline de France,5,Magnífico,"Uma experiência incrível, atendimento impecável, a equipe toda do Colline de France é muito gentil e atenciosa, nos proporcionaram momentos inesquecíveis. A arquitetura e decoração são fascinantes, além do conforto. Com certeza voltaremos!!!",dez. de 2021
Hotel Colline de France,5,Simplesmente o melhor hotel,Minha estádia no Colline de France excedeu todas expectativa! O nível de educação e gentileza do staff é encantadora. O quarto bem confortável e a comida maravilhosa. Certamente voltaremos muitas vezes. Vida longa ao Colline de France.,dez. de 2021
Hotel Colline de France,5,Espetacular!!!,Excelente!!! Sem nenhum defeito. Perfeito em cada mínimo detalhe. Os funcionários são um show a parte. Café da manhã maravilhoso. Limpeza impecável. Assistência e atenção completa de toda a equipe do começo ao fim.,dez. de 2021
Hotel Colline de France,5,Excelente experiência!,"Ficamos hospedados do dia 4 à 7 de Dezembro e o hotel correspondeu às altas expectativas. Foi tudo espetacular! O atendimento é realmente o diferencial deste hotel. Em especial gostaria de citar o João da recepção, e a Greice do café da manhã, que ofereceu dentre tantas delícias, o melhor chocolate quente que experimentamos em Gramado.",dez. de 2021
Hotel Colline de France,5,Lua de mel Perfeita!!!,"É um destino maravilhoso! Desde a chegada até o momento de irmos embora o atendimento é super exclusivo e diferenciado. É um sonho que todos merecem viver.  Os cafés da manhã são maravilhosos, repleto de opções. A janta com um cardápio bem selecionado e o sabor maravilhoso. Eu estou ansiosa pra me hospedar novamente no Colline. Eu indico conhecer, porque é uma experiência única.",dez. de 2021
Hotel Colline de France,5,Lua de mel,Maravilhoso o hotel. A cordialidade dos funcionários é impressionante. O café da manhã não deixa a desejar em nada. Toda a arquitetura é do hotel trás uma sensação de estarmos em um ambiente de filme e aconchegante ao mesmo tempo.,dez. de 2021
Hotel Colline de France,5,Impecável,"O atendimento do hotel Coline de France é impecável. Todos os funcionários que encontramos, sem exceção, foram super atenciosos. A estrutura é muito bonita! A comida é deliciosa. Ficamos muito felizes em estarmos no hotel.",dez. de 2021
Hotel Colline de France,5,Lual de mel,"Hotel magnifico. Serviço impecável. Todos muito atenciosos e solicitos. Atendimento, instalações e jardins maravilhosos. Restaurante bistrot divino. É caro mas vale cada centavo. Voltaremos no ano que vem.",dez. de 2021
Hotel Colline de France,5,Fantástico,"O Hotel Colline de France nos proporcionou uma experiência incrível. Todos os funcionários estão preparados para atendê-los no que for preciso com muita presteza e dedicação. Decoração, limpeza e acomodações impecáveis que nos trouxe o conforto que imaginávamos. Voltaremos com certeza a nos hospedar neste maravilhoso hotel.",dez. de 2021
Hotel Colline de France,5,Melhor hotel,"O hotel é um sonho de tão lindo, cada parte é magnífica, e somos tratados como da realeza pela ótima equipe do hotel… gostamos muito!!! Voltaremos com certeza. O café da manhã é delicioso e o jantar muito romântico!",dez. de 2021
Hotel Colline de France,5,Experiência mais que perfeita e inesquecível,"Estive no hotel colline de france de 05/12/21 a 07/12/21 e fiquei fascinada  com a experiência incrível  que tive . Foi tudo  perfeito do início ao fim . Escolhi o hotel para celebrar uma data muito especial nas nossas vidas e fui muito feliz na escolha . Vcs fizeram nossa celebração ser única e inesquecível . O atendimento de todo o time foi perfeito !! Sem palavras para descrever tanta excelência e riqueza nos detalhes . Todo o time estava   sempre disponível ,  foram  muito gentis, solícitos , e estavam sempre preocupados em nos proporcionar a melhor experiência . As instalações do hotel são lindas , dignas de um filme romântico , sem falar no deliciosos café da manhã , nos mimos , no chá da tarde ..  Muito obrigada a todo time , em especial a Roberto  que nos deu dicas",dez. de 2021
Hotel Colline de France,5,Melhor experiência em hospedagem!,"Recomendo demais, tudo é de excelência no Colline, da recepção á despedida! Fomos comemorar um ano de casados e com certeza voltaremos!  Gratidão à toda equipe! Ficamos encantados com todos os detalhes e acima de tudo com o excelente atendimento!",dez. de 2021
Hotel Colline de France,5,Melhor Hotel de Gramado,"Maravilhoso hotel, me senti em Paris, o glamour das acomodações e dos salões superaram as nossas expectativas. O atendimento só tem uma palavra pra descrever “primoroso”, a equipe não mede esforços para nos proporcionar uma experiência surreal. Todo o staff é educado acima do normal, Luca, Graice , o gerente Márcio  e toda a equipe do Colline de France, sem palavras para agradecer a atenção. Me senti sendo recebido por pessoas como se já conhecesse a muito tempo. O restaurante tem um cardápio com opções, com pratos deliciosos e preparados com muito requinte. O café da manhã é servido de forma diferenciada e a apresentação com muito glamour. Prepare sua câmera pois são muitos os locais para se fotografar, desde a fachada do hotel, jardins e salões do restaurante e recepção. A",dez. de 2021
Hotel Colline de France,5,Melhor hotel que já visitei,"Os funcionários são muito gentis e somos cuidados com muito carinho. Lugar impecável e café da manhã maravilhoso! Vale a pena cada centavo! Os quartos são lindos e e ainda vêm com shampoo, condicionador e hidratante da loccitane.",dez. de 2021
Hotel Colline de France,5,Perfeito.,"Instalações exuberantes, equipe super treinada, muito educada e atenciosa.  Super indicamos. Valeu muito a experiência e, com certeza voltaremos em uma próxima oportunidade.  São perfeitos em praticamente tudo. Desde o check-in até o check-out.",dez. de 2021
Hotel Colline de France,5,Melhor hotel do mundo,"Sem dúvidas o Colline faz jus ao título de Melhor Hotel do Mundo! E de melhor Café da manhã do mundo também!!! Nos hospedamos por 5 noites e mais parecia um palácio do que um hotel, principalmente pelo atendimento impecável de todos os funcionários! Já viajamos muito, mas nunca tinha me hospedado em um lugar com uma sintonia tão grande entre atendimento, estrutura e gastronomia! Sem dúvidas voltaremos assim que a piscina  for inaugurada! Obrigada Colline por esta experiência inesquecível ❤️",dez. de 2021
Hotel Colline de France,5,Quero voltar,"Tudo maravilhoso, já estou com vontade de voltar. Atendimento perfeito, funcionários educadíssimos e todo o tempo prestativos. Gostaria de agradecer a todos, principalmente ao Lucas. Toda equipe está de parabéns!",dez. de 2021
Hotel Colline de France,5,Viagem de Lua de Mel,Toda a estrutura do Hotel Colline é encantadora! Uma riqueza de detalhes requintada e acolhedora!  Nos sentimos em casa. O atendimento é excelente!  Tudo pensado em detalhes para recepcionar os hóspedes e fazê-los sentir-se num verdadeiro palácio!,dez. de 2021
Hotel Colline de France,5,O melhor hotel do mundo SIM!,"Ficamos uma diária no Colline, no quarto Grand Colline. Chegamos antes do horário padrão de check in, devido ao avião e mesmo assim fomos alocados rapidamente para nosso quarto. Assim que chegamos fomos recepcionados com espumante. 🤩 Entramos no nosso quarto ao som de música clássica, também tinham alguns mimos como: chocolate, um brinde da loja de cristais de gramado, canapés e doces. Saímos para comer e quando voltamos tinham chá e docinhos da tarde 🥰 O cuidado que o hotel para os clientes é maravilhoso, a noite depois que chegamos do jantar fomos recebidos com chá no quarto.  No outro dia pela manhã já era o nosso checkout, precisamos sair cedo para um ensaio fotográfico, tivemos problema com o Uber que estava cancelando muito e o hotel chamou rapidamente um táxi para",dez. de 2021
Hotel Colline de France,5,Lua de Mel,"Hotel é muito bom! Tudo perfeito, foi tudo pensado nos mínimos detalhes.  Muito bonito, o atendimento é fantástico,  o café da manhã é melhor possível...  Não consigo pensar em nada para reclamar.   Se está em dúvida vá para o Colline!",dez. de 2021
Hotel Colline de France,5,Viva essa experiência!,"Se você está procurando sofisticação, requinte e cordialidade, esse é o lugar.🇫🇷 Lindo de viver! Tudo em perfeita ordem e harmonia. Adoramos!🥰🥰 Os quartos impecáveis, as áreas de convivência de uma beleza que encanta!",dez. de 2021
Hotel Colline de France,5,Serviço Excepcional!!,"A localização do hotel é excelente e o novíssimo edifício é muito elegante. O quarto que ficamos, bonito, perfumado e com itens excelentes.  O café da manhã, servida à francesa, estava excepcional, mas certamente melhor do hotel é o quanto as pessoas se desdobram para bem atender. Quatro minutos foi o tempo que demoraram para me trazer um par de pilhas para o mouse do meu notebook. Nunca vi tamanha eficiência. Volto com certeza.",dez. de 2021
Hotel Colline de France,5,Experiencia Inesquecível,"O atendimento, cordialidade e educação dos funcionários é algo especial. Você sente o carinho em cada um na forma de conversar e ajudar!  Luca, Wilver e outros que não me lembro o nome foram muito legais.  Apesar de ser um hotel de luxo o staff me fez sentir muito confortável e á vontade.  A comida é excelente e em boas porções com um preço abaixo do esperado!  O quarto é muito confortável e com decoração e limpeza impecável...  Voltaremos um dia!",dez. de 2021
Hotel Colline de France,5,Hotel perfeito em Gramado!,"Hotel lindo e impecável! Não é à toa que foi eleito um dos melhores do mundo. Apesar do alto custo da diária, o restante dos serviços (frigobar, room service, jantar no bistrô) possuem valores justos. Além de recebermos muitos “mimos” (espumante, doces, croissants, etc) durante a estada. Destaque para o café da manhã. O atendimento é sensacional. Fomos recebidos pelo Luca e pelo Wilver. Toda a equipe é simpática e acolhedora. Voltaria com certeza e irei indicar para os amigos!",dez. de 2021
Hotel Colline de France,5,Colline de France,"Hotel Colline de France espetacular!!!!!   Decoração belíssima , atendimento maravilhoso.  Café da manhã servido a francesa…… delicioso. Muito além das expectativas. Parabéns a toda equipe Colline de France 👏👏👏👏👏",dez. de 2021
Hotel Colline de France,5,Qualidade e excelência no atendimento.,"Excelência no atendimento, fomos muito bem recebidos. Na recepção são oferecidas várias opções de bebidas para brindar e na suíte um pequeno espumante e doces. Nossa filha de 3 meses teve todo cuidado e carinho, recebeu bicho de pelúcia na entrada, quarto com berço e um roupão do seu tamanho. Jantamos no bistrô, muito bem atendidos pelo Lucca.  Café da manhã sem palavras, limpeza impecável. O hotel te entrega com qualidade tudo que você espera e ainda surpreende. Voltaremos com certeza.",dez. de 2021
Hotel Colline de France,5,Melhor hotel que já conheci,"Não tenho palavras para agradecer a todos os colaboradores. Atendimento excelente, alimentação maravilhosa e experiência incrível. Momentos que ficarão guardados na memória por muito tempo.. Melhor escolha que fizemos para passar nossa lua de mel.. Cidade acolhedora e muito romântica. Muito obrigada a todos do Colline de France. Super recomendo e indico.",dez. de 2021
Hotel Colline de France,5,Atendimento,"O atendimento, a cordialidade, a educação e a gentileza com que fomos tratados pelos funcionários em geral é algo impressionante e digno de se parabenizar. O Hotel também é maravilhoso, suas acomodações, café da manhã excelente e visual.  Artur Santana",dez. de 2021
Hotel Colline de France,5,Surpreendente,Superou as expectativas. Tudo preparado para agradar e proporcionar o maior conforto possível. Realmente uma experiência de hospedagem e gastronômica maravilhosa. Atendimento espetacular. Parabéns a toda equipe Colline de France...,nov. de 2021
Hotel Colline de France,5,Aniversário,"Excelente hotel.Uma equipe extremamente gentil, competente  e eficaz. Limpeza impecável,  café da manhã e jantar muito bom. De muito bom gosto as instalações.  Parabéns ao gerente Márcio e a toda sua equipe. Nota máxima.",nov. de 2021
